Designator,Quantity,Value,Footprint,Package,MPN,DNP,Mount_Type,Description,Height,Manufacturer_Name
J1,1,Поиск 1 X6 (Digital RGB),6710801,,671-0801,,tht,"Deltron 8 Pole Right Angle Din Socket Socket, 2A, 100 V ac, Lockable",19.5,DELTRON COMPONENTS
J2,1,CGA Out,DSUB-9_Pins_Horizontal_P2.77x2.84mm_EdgePinOffset7.70mm_Housed_MountingHolesOffset9.12mm,,,,tht,"9-pin D-SUB connector, socket (female)",,
